DateTime,Temperature (degC),Humidity (rh%)
8/18/24 23:52,22.6,59
8/18/24 23:37,22.6,60
8/18/24 23:22,22.6,60
8/18/24 23:07,22.7,60
8/18/24 22:52,22.8,61
8/18/24 22:37,22.8,61
8/18/24 22:22,22.8,62
8/18/24 22:07,22.9,63
8/18/24 21:52,22.7,63
8/18/24 21:37,22.6,63
8/18/24 21:22,22.7,63
8/18/24 21:07,22.8,63
8/18/24 20:52,22.8,63
8/18/24 20:37,23,62
8/18/24 20:22,23.1,62
8/18/24 20:07,23.1,60
8/18/24 19:52,23.3,58
8/18/24 19:37,23.2,57
8/18/24 19:22,23.1,57
8/18/24 19:07,23.1,58
8/18/24 18:52,23,56
8/18/24 18:37,23.1,57
8/18/24 18:22,23.1,59
8/18/24 18:07,23.1,57
8/18/24 17:52,23.2,56
8/18/24 17:37,23.2,57
8/18/24 17:22,23.2,55
8/18/24 17:07,23.2,56
8/18/24 16:52,23.2,57
8/18/24 16:37,23.4,57
8/18/24 16:22,23.2,56
8/18/24 16:07,23.2,60
8/18/24 15:52,23.3,56
8/18/24 15:37,23.3,56
8/18/24 15:22,23.3,55
8/18/24 15:07,23.3,55
8/18/24 14:52,23.5,54
8/18/24 14:37,23.4,55
8/18/24 14:22,23.4,55
8/18/24 14:07,23.5,55
8/18/24 13:52,23.6,56
8/18/24 13:37,23.5,55
8/18/24 13:22,23.5,55
8/18/24 13:07,23.4,55
8/18/24 12:52,23.3,56
8/18/24 12:37,23.3,56
8/18/24 12:22,23.2,57
8/18/24 12:07,23.3,58
8/18/24 11:52,23.3,56
8/18/24 11:37,23.3,56
8/18/24 11:22,23.4,56
8/18/24 11:07,23.3,56
8/18/24 10:52,23.3,56
8/18/24 10:37,23.3,59
8/18/24 10:22,23.1,60
8/18/24 10:07,22.7,61
8/18/24 9:52,22.4,58
8/18/24 9:37,22.5,58
8/18/24 9:22,22.6,57
8/18/24 9:07,22.6,56
8/18/24 8:52,22.7,55
8/18/24 8:37,22.9,54
8/18/24 8:22,22.9,55
8/18/24 8:07,22.7,54
8/18/24 7:52,22.8,54
8/18/24 7:37,22.9,54
8/18/24 7:22,22.9,54
8/18/24 7:07,22.9,55
8/18/24 6:52,22.9,55
8/18/24 6:37,22.8,55
8/18/24 6:22,22.8,55
8/18/24 6:07,22.7,54
8/18/24 5:52,22.7,52
8/18/24 5:37,22.8,52
8/18/24 5:22,23,53
8/18/24 5:07,23.1,53
8/18/24 4:52,23.1,54
8/18/24 4:37,23.2,56
8/18/24 4:22,23.2,58
8/18/24 4:07,23.2,58
8/18/24 3:52,23.1,58
8/18/24 3:37,22.9,59
8/18/24 3:22,22.9,59
8/18/24 3:07,22.9,59
8/18/24 2:52,22.9,59
8/18/24 2:37,22.9,59
8/18/24 2:22,22.8,57
8/18/24 2:07,22.8,57
8/18/24 1:52,22.9,56
8/18/24 1:37,23,56
8/18/24 1:22,23.2,59
8/18/24 1:07,23.3,60
8/18/24 0:52,23.6,60
8/18/24 0:37,23.4,60
8/18/24 0:22,23.3,61
8/18/24 0:07,22.9,61
8/17/24 23:52,22.8,60
8/17/24 23:37,22.7,60
8/17/24 23:22,22.5,61
8/17/24 23:07,22.7,61
8/17/24 22:52,22.8,60
8/17/24 22:37,22.8,60
8/17/24 22:22,22.9,61
8/17/24 22:07,22.9,60
8/17/24 21:52,22.9,60
8/17/24 21:37,22.9,60
8/17/24 21:22,23,59
8/17/24 21:07,23.1,58
8/17/24 20:52,23.2,58
8/17/24 20:37,23.2,58
8/17/24 20:22,23.2,57
8/17/24 20:07,23.3,58
8/17/24 19:52,23.3,58
8/17/24 19:37,23.3,58
8/17/24 19:22,23.3,58
8/17/24 19:07,23.3,60
8/17/24 18:52,23.3,59
8/17/24 18:37,23.4,59
8/17/24 18:22,23.4,59
8/17/24 18:07,23.4,58
8/17/24 17:52,23.4,58
8/17/24 17:37,23.4,58
8/17/24 17:22,23.5,58
8/17/24 17:07,23.5,59
8/17/24 16:52,23.5,58
8/17/24 16:37,23.7,59
8/17/24 16:22,23.6,59
8/17/24 16:07,23.6,59
8/17/24 15:52,23.5,59
8/17/24 15:37,23.5,60
8/17/24 15:22,23.6,61
8/17/24 15:07,23.5,62
8/17/24 14:52,23.3,62
8/17/24 14:37,23.3,63
8/17/24 14:22,23.2,63
8/17/24 14:07,23.2,63
8/17/24 13:52,23.1,63
8/17/24 13:37,23.1,63
8/17/24 13:22,23.1,64
8/17/24 13:07,23.1,62
8/17/24 12:52,23,63
8/17/24 12:37,22.9,63
8/17/24 12:22,22.8,62
8/17/24 12:07,22.8,61
8/17/24 11:52,22.8,61
8/17/24 11:37,22.9,60
8/17/24 11:22,22.8,60
8/17/24 11:07,22.8,59
8/17/24 10:52,23,58
8/17/24 10:37,23,57
8/17/24 10:22,23,57
8/17/24 10:07,22.9,57
8/17/24 9:52,22.8,57
8/17/24 9:37,22.8,57
8/17/24 9:22,22.6,58
8/17/24 9:07,22.6,57
8/17/24 8:52,22.6,57
8/17/24 8:37,22.6,58
8/17/24 8:22,22.3,57
8/17/24 8:07,22.2,55
8/17/24 7:52,22.3,53
8/17/24 7:37,22.2,54
8/17/24 7:22,22.4,55
8/17/24 7:07,22.4,57
8/17/24 6:52,22.4,57
8/17/24 6:37,22.3,57
8/17/24 6:22,22.3,57
8/17/24 6:07,22.4,57
8/17/24 5:52,22.3,58
8/17/24 5:37,22.4,57
8/17/24 5:22,22.4,54
8/17/24 5:07,22.5,54
8/17/24 4:52,22.6,54
8/17/24 4:37,22.7,54
8/17/24 4:22,22.8,55
8/17/24 4:07,23,56
8/17/24 3:52,23.2,57
8/17/24 3:37,23.3,59
8/17/24 3:22,23.2,60
8/17/24 3:07,23.2,61
8/17/24 2:52,23.2,61
8/17/24 2:37,23,62
8/17/24 2:22,22.9,62
8/17/24 2:07,22.7,62
8/17/24 1:52,22.6,59
8/17/24 1:37,22.5,61
8/17/24 1:22,22.3,61
8/17/24 1:07,22.3,62
8/17/24 0:52,22.2,62
8/17/24 0:37,22.4,63
8/17/24 0:22,22.4,63
8/17/24 0:07,22.5,63
8/16/24 23:52,22.5,63
8/16/24 23:37,22.7,64
8/16/24 23:22,22.7,65
8/16/24 23:07,22.7,65
8/16/24 22:52,22.7,64
8/16/24 22:37,22.8,64
8/16/24 22:22,22.9,64
8/16/24 22:07,22.9,64
8/16/24 21:52,23,65
8/16/24 21:37,23,65
8/16/24 21:22,23.1,65
8/16/24 21:07,23.2,64
8/16/24 20:52,23.4,64
8/16/24 20:37,23.5,64
8/16/24 20:22,23.5,64
8/16/24 20:07,23.5,64
8/16/24 19:52,23.6,64
8/16/24 19:37,23.5,64
8/16/24 19:22,23.6,64
8/16/24 19:07,23.6,64
8/16/24 18:52,23.5,64
8/16/24 18:37,23.6,64
8/16/24 18:22,23.6,64
8/16/24 18:07,23.6,64
8/16/24 17:52,23.6,64
8/16/24 17:37,23.5,64
8/16/24 17:22,23.5,65
8/16/24 17:07,23.4,64
8/16/24 16:52,23.4,65
8/16/24 16:37,23.5,65
8/16/24 16:22,23.4,65
8/16/24 16:07,23.4,65
8/16/24 15:52,23.4,65
8/16/24 15:37,23.4,65
8/16/24 15:22,23.4,66
8/16/24 15:07,23.4,66
8/16/24 14:52,23.5,67
8/16/24 14:37,23.6,69
8/16/24 14:22,23.4,70
8/16/24 14:07,23.1,71
8/16/24 13:52,22.8,70
8/16/24 13:37,22.6,69
8/16/24 13:22,22.8,68
8/16/24 13:07,22.9,68
8/16/24 12:52,22.9,68
8/16/24 12:37,23.1,66
8/16/24 12:22,23.4,66
8/16/24 12:07,23.4,67
8/16/24 11:52,23.5,66
8/16/24 11:37,23.5,66
8/16/24 11:22,23.5,66
8/16/24 11:07,23.5,65
8/16/24 10:52,23.6,64
8/16/24 10:37,23.6,65
8/16/24 10:22,23.5,65
8/16/24 10:07,23.5,66
8/16/24 9:52,23.5,67
8/16/24 9:37,23.4,67
8/16/24 9:22,23.1,68
8/16/24 9:07,22.9,69
